Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:47:02.641 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.810000,0.970000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.619370,-0.018295,0.000000,24.253952,15.614410,0.000000,0.045000,0.018000,0.002000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.741 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6005.273438,5999.414062,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.790000,1.060000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.675903,0.000000,0.000000,24.336563,15.613861,0.000000,0.065000,-0.003000,-0.020000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.841 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6000.585938,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.770000,1.070000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.743713,-0.028183,0.000000,24.422379,15.613052,0.000000,0.070000,-0.072000,-0.010000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.942 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.718750,6000.585938,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.740000,1.030000,1.000000,105.000000,1,0,-0.000000,0.000000,1,1.818329,-0.086761,0.000000,24.529678,15.609253,0.000000,0.039000,-0.046000,-0.008000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.050 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.132812,6004.687500,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.670000,1.010000,1.000000,107.000000,1,0,-0.000000,0.000000,1,1.884262,-0.139725,0.000000,24.622482,15.603439,0.000000,0.050000,-0.083000,-0.007000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.150 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,6006.445312,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.630000,0.970000,1.000000,101.000000,1,0,-0.000000,0.000000,1,1.947372,-0.202774,0.000000,24.699387,15.596130,0.000000,0.057000,-0.075000,-0.002000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.250 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.101562,6007.617188,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.600000,1.000000,1.000000,101.000000,1,0,-0.000000,0.000000,1,2.020065,-0.254959,0.000000,24.798874,15.584518,0.000000,0.060000,-0.074000,-0.072000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.351 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,6009.960938,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.570000,1.030000,1.000000,101.000000,1,0,-0.000000,0.000000,1,2.115723,-0.336472,0.000000,24.923370,15.566177,0.000000,0.091000,-0.028000,-0.074000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.452 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5999.414062,6007.617188,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.580000,1.120000,1.000000,102.000000,1,0,-0.000000,0.000000,1,2.208099,-0.399551,0.000000,25.031937,15.547592,0.000000,0.078000,-0.056000,-0.077000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:03.552 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,6008.789062,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.610000,1.160000,1.000000,101.000000,1,0,-0.000000,0.000000,1,2.286575,-0.455429,0.000000,25.122131,15.530151,0.000000,0.114000,-0.108000,-0.087000,FlatInitial,Hold,0,-0.828125,-0.230000
