Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:24:30.692 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5993.554688,5991.210938,-6000.000000,-6000.000000,Speed,Speed,-34.970000,1.160000,2.820000,1.000000,102.000000,1,1,0.000000,-0.000000,1,-0.766388,-0.031540,0.000000,24.134354,11.327805,0.000000,-0.043000,0.024000,0.018000,FlatInitial,Hold,0,-0.043750
07:24:30.793 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5992.968750,5988.867188,-6000.000000,-6000.000000,Speed,Speed,-34.970000,1.120000,2.770000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.795303,-0.047577,0.000000,24.118622,11.326859,0.000000,-0.059000,0.023000,-0.011000,FlatInitial,Hold,0,-0.043750
07:24:30.896 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.140625,5988.867188,-6000.000000,-6000.000000,Speed,Speed,-34.940000,1.140000,2.800000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.869415,-0.045090,0.000000,24.059738,11.323486,0.000000,-0.057000,0.084000,-0.105000,FlatInitial,Hold,0,-0.043750
07:24:30.996 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.140625,5988.281250,-6000.000000,-6000.000000,Speed,Speed,-34.940000,1.140000,2.870000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.919189,-0.024429,0.000000,24.023804,11.322144,0.000000,-0.062000,0.024000,-0.010000,FlatInitial,Hold,0,-0.043750
07:24:31.097 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5993.554688,5992.382812,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.150000,2.970000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.971039,0.015457,0.000000,23.976044,11.322266,0.000000,-0.085000,0.013000,-0.065000,FlatInitial,Hold,0,-0.043750
07:24:31.201 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5995.312500,5988.867188,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.190000,3.070000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.014191,0.029022,0.000000,23.926163,11.323288,0.000000,-0.116000,-0.037000,-0.062000,FlatInitial,Hold,0,-0.043750
07:24:31.301 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.070312,5981.835938,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.160000,3.090000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.094604,0.029968,0.000000,23.872757,11.324417,0.000000,-0.120000,-0.159000,-0.054000,FlatInitial,Hold,0,-0.043750
07:24:31.401 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.242188,5988.281250,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.090000,3.080000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.207291,0.006256,0.000000,23.803207,11.324890,0.000000,-0.159000,-0.127000,-0.010000,FlatInitial,Hold,0,-0.043750
07:24:31.502 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.828125,5992.382812,-6000.000000,-6000.000000,Speed,Speed,-34.960000,0.940000,2.980000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.289200,0.004059,0.000000,23.752640,11.324768,0.000000,-0.133000,0.021000,0.047000,FlatInitial,Hold,0,-0.043750
07:24:31.603 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5999.414062,5993.554688,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.870000,2.870000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.367493,0.000000,0.000000,23.685318,11.324753,0.000000,-0.106000,-0.019000,0.010000,FlatInitial,Hold,0,-0.043750
07:24:31.703 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.828125,5995.312500,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.800000,2.740000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.436447,0.000000,0.000000,23.614502,11.324570,0.000000,-0.071000,-0.009000,0.060000,FlatInitial,Hold,0,-0.043750
07:24:31.803 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5999.414062,6000.000000,-6000.000000,-6000.000000,Speed,Speed,-34.960000,0.760000,2.690000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-1.470428,0.008652,0.000000,23.541000,11.324936,0.000000,-0.007000,0.014000,-0.003000,FlatInitial,Hold,0,-0.043750
07:24:31.903 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.828125,6003.515625,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.800000,2.680000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.524643,0.046005,0.000000,23.436218,11.326935,0.000000,-0.055000,-0.045000,-0.057000,FlatInitial,Hold,0,-0.043750
07:24:32.004 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.000000,6001.171875,-6000.000000,-6000.000000,Speed,Speed,-34.960000,0.790000,2.730000,1.000000,101.000000,1,0,-0.228346,0.228346,1,-1.544846,0.055359,0.000000,23.389908,11.328476,0.000000,-0.069000,-0.012000,-0.006000,FlatInitial,Hold,0,-0.043750
07:24:32.104 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,5997.070312,-6000.000000,-6000.000000,Speed,Speed,-34.960000,0.790000,2.780000,1.000000,101.000000,1,0,-0.244094,0.244094,1,-1.589905,0.057129,0.000000,23.295441,11.331497,0.000000,-0.050000,0.011000,0.000000,FlatInitial,Hold,0,-0.043750
07:24:32.206 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5984.765625,5980.664062,-6000.000000,-6000.000000,Speed,Speed,-34.400000,0.370000,2.760000,1.000000,108.000000,1,0,-0.000000,0.000000,1,-1.752396,-0.041702,0.000000,23.210617,11.330246,0.000000,0.041000,-0.040000,0.000000,FlatInitial,Hold,0,-0.043750
07:24:32.306 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5980.664062,5971.289062,-6000.000000,-6000.000000,Speed,Speed,-32.510000,0.410000,2.580000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-1.738571,-0.065659,0.000000,23.140656,11.327972,0.000000,-0.029000,0.094000,0.078000,FlatInitial,Hold,0,-0.043750
07:24:32.407 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.070312,5985.937500,-6000.000000,-6000.000000,Speed,Speed,-32.050000,0.570000,2.510000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-1.736694,-0.048340,0.000000,23.054016,11.325317,0.000000,0.116000,0.050000,0.005000,FlatInitial,Hold,0,-0.043750
