Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
06:58:43.102 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4002.978516,-4006.640625,4000.000000,4000.000000,Speed,Speed,-15.770000,1.070000,2.050000,3.000000,105.000000,1,0,-0.000000,0.000000,1,-0.018036,0.005981,0.000000,-0.002182,0.021362,0.000000,-0.021000,-0.011000,-0.056000,FlatInitial,Hold,0,0.000000
06:58:43.203 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4002.978516,-4002.832031,4000.000000,4000.000000,Speed,Speed,-15.770000,1.070000,2.020000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.032288,-0.002716,0.000000,-0.003189,0.021408,0.000000,-0.056000,-0.031000,0.126000,FlatInitial,Hold,0,0.000000
06:58:43.303 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4004.736328,-3999.316406,4000.000000,4000.000000,Speed,Speed,-15.770000,1.050000,2.000000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.048828,-0.005997,0.000000,-0.005569,0.021240,0.000000,-0.026000,-0.034000,0.127000,FlatInitial,Hold,0,0.000000
06:58:43.403 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4005.761719,-3992.431641,4000.000000,4000.000000,Speed,Speed,-15.770000,1.020000,1.950000,3.000000,102.000000,1,1,0.000000,-0.000000,1,0.000000,-0.014496,0.000000,-0.007095,0.020782,0.000000,-0.045000,0.002000,-0.062000,FlatInitial,Hold,0,0.000000
06:58:43.503 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4006.494141,-3986.279297,4000.000000,4000.000000,Speed,Speed,-15.770000,1.000000,1.910000,3.000000,102.000000,1,1,0.000000,-0.000000,1,-0.024506,0.000000,0.000000,-0.008011,0.020157,0.000000,0.023000,0.013000,0.026000,FlatInitial,Hold,0,0.000000
06:58:43.603 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4003.564453,-3992.578125,4000.000000,4000.000000,Speed,Speed,-15.770000,0.990000,1.860000,3.000000,107.000000,1,1,0.000000,-0.000000,1,-0.033936,0.000000,0.000000,-0.009445,0.019958,0.000000,-0.025000,-0.019000,0.076000,FlatInitial,Hold,0,0.000000
06:58:43.704 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4000.341797,-3999.316406,4000.000000,4000.000000,Speed,Speed,-15.770000,0.970000,1.840000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.045456,0.000000,0.000000,-0.011566,0.019958,0.000000,-0.041000,0.016000,-0.072000,FlatInitial,Hold,0,0.000000
06:58:43.805 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.291016,-4002.099609,4000.000000,4000.000000,Speed,Speed,-15.770000,0.960000,1.790000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.052292,-0.009262,0.000000,-0.014099,0.019730,0.000000,0.021000,0.009000,0.035000,FlatInitial,Hold,0,0.000000
06:58:43.906 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3995.654297,-4002.685547,4000.000000,4000.000000,Speed,Speed,-15.760000,0.960000,1.760000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.063782,0.000015,0.000000,-0.016998,0.019684,0.000000,0.003000,-0.034000,0.094000,FlatInitial,Hold,0,0.000000
06:58:44.007 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3993.750000,-4003.710937,4000.000000,4000.000000,Speed,Speed,-15.770000,0.930000,1.720000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.006805,-0.009659,0.000000,-0.017197,0.019348,0.000000,-0.026000,-0.013000,-0.061000,FlatInitial,Hold,0,0.000000
