Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState
06:35:04.996 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.320000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.011000,FlatInitial,ResetForward
06:35:05.097 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.320000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.012000,FlatInitial,ResetForward
06:35:05.197 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.320000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.002000,0.011000,FlatInitial,ResetForward
06:35:05.298 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.320000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,0.000000,0.011000,FlatInitial,ResetForward
06:35:05.398 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.330000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,0.000000,0.012000,FlatInitial,ResetForward
06:35:05.498 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,-0.001000,0.001000,0.013000,FlatInitial,ResetForward
06:35:05.599 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,0.000000,0.015000,FlatInitial,ResetForward
06:35:05.700 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.009000,FlatInitial,ResetForward
06:35:05.800 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.001000,0.013000,FlatInitial,ResetForward
06:35:05.900 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,0.001000,0.012000,FlatInitial,ResetForward
06:35:06.000 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.011000,FlatInitial,ResetForward
06:35:06.101 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.002000,0.013000,FlatInitial,ResetForward
06:35:06.202 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.002000,0.012000,FlatInitial,ResetForward
06:35:06.303 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.002000,0.012000,FlatInitial,ResetForward
06:35:06.404 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.001000,0.012000,FlatInitial,ResetForward
06:35:06.505 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,0.001000,0.013000,FlatInitial,ResetForward
06:35:06.605 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.016000,FlatInitial,ResetForward
06:35:06.706 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.012000,FlatInitial,ResetForward
06:35:06.805 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.330000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,0.000000,0.008000,FlatInitial,ResetForward
06:35:06.906 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.014000,FlatInitial,ResetForward
06:35:07.005 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.340000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.013000,FlatInitial,ResetForward
06:35:07.106 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.890000,1.330000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,-0.001000,-0.002000,0.015000,FlatInitial,ResetForward
06:35:07.206 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.340000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.001000,0.010000,FlatInitial,ResetForward
06:35:07.307 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.340000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,-0.003000,0.000000,0.014000,FlatInitial,ResetForward
06:35:07.406 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.880000,1.340000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.002000,0.011000,FlatInitial,ResetForward
06:35:07.507 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.880000,1.340000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.015000,FlatInitial,ResetForward
